Computer Name,Serial Number,Compliance - mSCP Version,Compliance - Failed mSCP Results Count,Full Name,Last Inventory Update,Operating System,Compliance - Failed mSCP Result List,Asset Tag
MacMini-Southeast-001,0OVRNXGIOV2X,org.disa_stig.audit.plist,0,Emily Wilson,2025-03-10 13:38:38,macOS 15.3.1,,39373746
iMac-Southwest-002,XQYH8Z9VELE3,org.disa_stig.audit.plist,10,Olivia Harris,2025-03-10 06:08:52,macOS 15.3.1,"audit_files_owner_configure
audit_flags_successful_auths",00632476
MacMini-NorthCentral-003,O1EDBA2GLS7X,org.disa_stig.audit.plist,66,Sophia Lewis,2025-03-10 13:01:57,macOS 14.5.0,"audit_flags_unsuccessful_auths
audit_flags_successful_auths",20165958
MacStudio-Midwest-004,3T5AS9DA1IDR,org.disa_stig.audit.plist,47,Michael Scott,2025-03-10 15:46:24,macOS 14.2.1,"audit_files_owner_configure
audit_set_macOS_security_policy
audit_flags_successful_auths
audit_flags_logins
audit_flags_authentication
audit_flags_unsuccessful_auths
audit_files_group_configure",22478264
MacBookAir-MountainWest-005,G6BG0H8LLRCB,org.disa_stig.audit.plist,7,Jane Smith,2025-03-10 23:01:35,macOS 14.7.4,"audit_flags_authentication
audit_set_macOS_security_policy
audit_flags_successful_auths",57094274
MacMini-Midwest-006,NC93KTQ3HLER,org.disa_stig.audit.plist,63,Benjamin Young,2025-03-10 10:22:54,macOS 15.3.1,"audit_flags_successful_auths
audit_set_macOS_security_policy
audit_flags_logins
audit_files_group_configure",27399253
iMac-Alaska-007,Y0WQEBP1SM8E,org.disa_stig.audit.plist,14,John Doe,2025-03-10 03:27:16,macOS 14.2.1,audit_flags_administrator_actions,17617747
MacMini-MountainWest-008,DXGC14YW5ZCA,org.disa_stig.audit.plist,30,Bob Brown,2025-03-10 10:40:06,macOS 14.2.1,"audit_set_macOS_security_policy
audit_flags_successful_auths
audit_flags_administrator_actions
audit_configure_capacity_notify
audit_flags_authentication
audit_flags_unsuccessful_auths
audit_flags_logins
audit_files_group_configure
audit_files_owner_configure",02768934
MacBookPro-Mid-Atlantic-009,9T4EVHDYKMAZ,org.disa_stig.audit.plist,15,Harper Adams,2025-03-10 12:34:42,macOS 14.5.0,"audit_flags_logins
audit_set_macOS_security_policy
audit_flags_authentication
audit_flags_administrator_actions
audit_flags_successful_auths
audit_configure_capacity_notify
audit_files_group_configure
audit_files_owner_configure",37440383
MacMini-NorthCentral-010,VN4GSTHOSG36,org.disa_stig.audit.plist,0,Charlotte King,2025-03-10 00:07:20,macOS 14.2.1,,49309237
MacStudio-Mid-Atlantic-011,ON98BVYB3P1B,org.disa_stig.audit.plist,68,Jane Smith,2025-03-10 13:25:51,macOS 14.7.4,"audit_flags_successful_auths
audit_flags_administrator_actions
audit_flags_unsuccessful_auths
audit_flags_logins",58966753
MacBookAir-MountainWest-012,KD32YGX92G3E,org.disa_stig.audit.plist,0,Frank Thomas,2025-03-10 05:23:59,macOS 14.7.4,,92017979
MacBookPro-NorthCentral-013,E4FCYFHHGFM4,org.disa_stig.audit.plist,0,Charlie Davis,2025-03-10 10:34:20,macOS 14.7.4,,87779401
MacBookAir-PacificNorthWest-014,LMC0904QV1UT,org.disa_stig.audit.plist,0,David Clark,2025-03-10 01:25:35,macOS 15.3.1,,41387521
MacBookPro-Southeast-015,9U7TOW7WR1Z1,org.disa_stig.audit.plist,14,Liam Roberts,2025-03-10 20:18:37,macOS 14.7.4,"audit_set_macOS_security_policy
audit_configure_capacity_notify
audit_flags_administrator_actions
audit_flags_successful_auths
audit_files_group_configure
audit_flags_unsuccessful_auths
audit_files_owner_configure",70803169
MacMini-Southeast-016,JU44PC12WDJN,org.disa_stig.audit.plist,11,Elijah Nelson,2025-03-10 04:21:51,macOS 14.2.1,"audit_flags_administrator_actions
audit_flags_successful_auths
audit_flags_unsuccessful_auths
audit_files_group_configure
audit_set_macOS_security_policy
audit_flags_authentication
audit_configure_capacity_notify
audit_flags_logins",89114234
MacMini-South-017,1BUWEA73QE92,org.disa_stig.audit.plist,39,Liam Roberts,2025-03-10 06:32:23,macOS 15.3.1,"audit_flags_successful_auths
audit_files_owner_configure
audit_files_group_configure
audit_flags_logins
audit_set_macOS_security_policy
audit_flags_unsuccessful_auths
audit_flags_administrator_actions",28790325
MacStudio-NewEngland-018,TZIP8JEUWTUJ,org.disa_stig.audit.plist,42,John Doe,2025-03-10 04:28:44,macOS 14.2.1,audit_set_macOS_security_policy,07756452
MacStudio-Southeast-019,S8TBQ5RD7A9U,org.disa_stig.audit.plist,55,Harper Adams,2025-03-10 06:39:54,macOS 14.7.4,"audit_configure_capacity_notify
audit_files_group_configure
audit_set_macOS_security_policy
audit_flags_logins
audit_flags_successful_auths
audit_flags_administrator_actions
audit_flags_authentication
audit_flags_unsuccessful_auths",73687347
MacStudio-Mid-Atlantic-020,XZEK0A92KP29,org.disa_stig.audit.plist,64,Henry Martin,2025-03-10 02:39:28,macOS 14.7.4,"audit_configure_capacity_notify
audit_flags_successful_auths",77091959
MacBookPro-Midwest-021,QU7Z8W66IRNA,org.disa_stig.audit.plist,26,Ava Martinez,2025-03-10 19:26:09,macOS 14.5.0,audit_flags_authentication,25158697
